Date,Open,High,Low,Close,Adj Close,Volume
1/27/2014,179.610001,179.649994,177.660004,177.899994,135.293381,5208600
1/28/2014,178.050003,178.449997,176.160004,176.850006,134.494843,5333300
1/29/2014,175.979996,178.529999,175.889999,176.399994,134.152634,4970900
1/30/2014,177.169998,177.860001,176.360001,177.360001,134.88269,4853700
1/31/2014,176.110001,177.839996,175.339996,176.679993,134.365555,5193400
2/3/2014,176.020004,176.020004,172.720001,172.899994,131.490875,7186800
2/4/2014,173.529999,173.75,172.360001,172.839996,131.445236,4349800
2/5/2014,172.190002,174.970001,172.190002,174.240005,132.509933,4712300
2/6/2014,173.970001,174.850006,173.789993,174.669998,133.565186,4292200
2/7/2014,175.639999,177.559998,175.070007,177.25,135.538055,4692900
2/10/2014,176.970001,177.649994,176.25,177.139999,135.453903,3540400
2/11/2014,176.809998,180.389999,176.800003,179.699997,137.411514,4647300
2/12/2014,179.520004,181.25,179.259995,180.240005,137.824448,3983000
2/13/2014,178.220001,182.360001,177.860001,181.839996,139.047882,4482000
2/14/2014,181.259995,184.429993,180.990005,183.690002,140.462555,4659900
2/18/2014,183.179993,184,182.320007,183.190002,140.080154,4435200
2/19/2014,182.740005,185.649994,182.410004,182.949997,139.896683,4671500
2/20/2014,182.960007,184.860001,182.789993,184.259995,140.898407,4968200
2/21/2014,184.25,185.710007,182.619995,182.789993,139.774307,5699300
2/24/2014,182.820007,185.160004,182.820007,183.449997,140.279037,4595300
2/25/2014,183.520004,184.600006,182.880005,183.229996,140.110764,3902300
2/26/2014,183.940002,185.279999,183.559998,184.059998,140.745468,3740700
2/27/2014,183.830002,185.949997,183.809998,185.270004,141.670746,3827800
2/28/2014,185.380005,186.119995,183.649994,185.169998,141.594223,4667900
3/3/2014,183.330002,184.639999,182.820007,184.259995,140.898407,3950100
3/4/2014,185.809998,187.160004,185.679993,186.440002,142.565384,4733000
3/5/2014,186.570007,187.949997,186.399994,187.139999,143.100677,3485200
3/6/2014,187.369995,188.389999,186.899994,187.639999,143.482986,3817300
3/7/2014,188.350006,188.919998,187.179993,187.679993,143.51358,4117800
3/10/2014,187.550003,188.369995,185.850006,186.389999,142.527176,4591200
3/11/2014,187.410004,188.449997,186.039993,186.759995,142.810059,4229500
3/12/2014,186.009995,187.449997,185.889999,186.220001,142.397186,4833000
3/13/2014,186.410004,187,183.710007,183.899994,140.623093,4913200
3/14/2014,183.889999,184.289993,182.210007,182.210007,139.330811,5490300
3/17/2014,182.660004,186.350006,182.660004,185.809998,142.083633,4938100
3/18/2014,185.990005,187.899994,185.539993,186.809998,142.848297,3961300
3/19/2014,185.600006,186.699997,183.5,184.710007,141.242538,4323900
3/20/2014,184.470001,188.259995,184.169998,187.899994,143.681839,5062600
3/21/2014,188.5,188.699997,186.399994,186.669998,142.741241,12535200
3/24/2014,187.429993,189.440002,187.369995,188.25,143.949463,5738500
3/25/2014,188.759995,195.399994,188.699997,195.039993,149.141541,10912700
3/26/2014,194.979996,195.630005,191.960007,192.619995,147.291016,6851700
3/27/2014,191.910004,192.669998,189.320007,189.830002,145.157654,6767700
3/28/2014,189.940002,192.619995,189.110001,190.449997,145.631729,5194400
3/31/2014,191.639999,193.770004,191.399994,192.490005,147.191635,8537300
4/1/2014,193.119995,195.130005,192.779999,194.5,148.728592,5394100
4/2/2014,194.240005,194.5,192.490005,193.550003,148.002182,4924100
4/3/2014,193.199997,193.380005,192.350006,192.690002,147.344589,4091100
4/4/2014,193.119995,193.970001,191.279999,191.770004,146.641083,6089900
4/7/2014,191.720001,195.309998,191.570007,194.520004,148.743912,6740500
4/8/2014,193.889999,194.169998,192.690002,193.289993,147.803375,5125000
4/9/2014,193.880005,197,193.600006,196.639999,150.365005,5480100
4/10/2014,196.059998,199.210007,195.660004,195.679993,149.630951,8417900
4/11/2014,195.039993,197,194.270004,195.190002,149.256256,4835000
4/14/2014,196.240005,198.240005,195.880005,197.770004,151.229156,5431100
4/15/2014,195.979996,197.410004,195.419998,197.020004,150.655624,5351300
4/16/2014,198.050003,198.710007,195,196.399994,150.181458,8527300
4/17/2014,187.25,190.699997,187.009995,190.009995,145.295242,11249600
4/21/2014,189.800003,192.809998,189.740005,192.270004,147.023407,5419700
4/22/2014,192.009995,193,191.199997,192.149994,146.931641,3878600
4/23/2014,191.789993,192.410004,190.110001,191.729996,146.610489,4736400
4/24/2014,192.220001,192.220001,190.029999,190.220001,145.455826,4407100
4/25/2014,190.539993,190.669998,189.110001,189.630005,145.0047,3871000
4/28/2014,191.139999,193.990005,190.580002,193.139999,147.688705,5638300
4/29/2014,193.589996,195.940002,193.410004,195.110001,149.195099,4626300
4/30/2014,194.380005,196.860001,194.350006,196.470001,150.235062,4206800
5/1/2014,196.309998,196.740005,193.149994,193.529999,147.986877,3674000
5/2/2014,193.75,193.839996,191.25,191.440002,146.388748,3049900
5/5/2014,191.050003,191.490005,189.800003,191.259995,146.251083,2222100
5/6/2014,190.929993,190.949997,189.25,190.029999,145.310562,3188700
5/7/2014,189.339996,190.300003,186.929993,189.300003,145.595108,3821000
5/8/2014,189.160004,190.570007,188.229996,188.910004,145.295181,2431900
5/9/2014,188.979996,190.589996,188.369995,190.080002,146.195038,2261600
5/12/2014,191.119995,193.020004,190.940002,192.570007,148.110168,3777400
5/13/2014,192.789993,193.029999,191.759995,192.190002,147.817856,2226600
5/14/2014,191.910004,191.990005,188.169998,188.720001,145.149017,5251500
5/15/2014,189.070007,189.080002,186.179993,186.460007,143.410828,4202200
5/16/2014,186.270004,187.410004,185.929993,187.059998,143.872314,3949500
5/19/2014,186.610001,187.130005,186.039993,187,143.826126,3270700
5/20/2014,186.25,186.699997,184.699997,184.889999,142.203323,3026500
5/21/2014,185.850006,187.160004,184.949997,186.389999,143.35701,2988000
5/22/2014,186.449997,186.449997,185.029999,185.679993,142.810867,2218000
5/23/2014,185.839996,186.139999,185.309998,185.940002,143.010895,2562900
5/27/2014,184.800003,185.649994,183.929993,184.779999,142.118698,4793800
5/28/2014,184.479996,184.880005,182.940002,183.080002,140.811172,3721600
5/29/2014,183.639999,183.779999,182.330002,183.759995,141.334152,2759900
5/30/2014,183.380005,184.570007,182.490005,184.360001,141.795639,4620500
6/2/2014,184.759995,186.279999,184.669998,185.690002,142.818604,3200500
6/3/2014,185.550003,185.759995,184.119995,184.369995,141.80336,2517100
6/4/2014,184.710007,185.449997,184.199997,184.509995,141.911011,2376800
6/5/2014,184.660004,186.089996,183.919998,185.979996,143.041626,2852200
6/6/2014,186.470001,187.649994,185.899994,186.369995,143.341614,3296700
6/9/2014,186.220001,187.639999,185.960007,186.220001,143.226273,2728400
6/10/2014,186.199997,186.220001,183.820007,184.289993,141.741806,4154900
6/11/2014,183.610001,184.199997,182.009995,182.25,140.172821,4061700
6/12/2014,182.479996,182.550003,180.910004,181.220001,139.380615,4425300
6/13/2014,182,183,181.520004,182.559998,140.411224,2773600
6/16/2014,182.399994,182.710007,181.240005,182.350006,140.249725,3556200
6/17/2014,181.899994,182.809998,181.559998,182.259995,140.180496,2460900
6/18/2014,182.039993,183.610001,181.789993,183.600006,141.211105,3931800
6/19/2014,184.119995,184.470001,182.360001,182.820007,140.611221,3551100
6/20/2014,182.589996,182.669998,181.399994,181.550003,139.634445,10686800
6/23/2014,181.919998,182.25,181,182.139999,140.088196,3231700
6/24/2014,181.5,183,180.649994,180.880005,139.119064,3875400
6/25/2014,180.25,180.970001,180.059998,180.720001,138.996063,2762800
6/26/2014,180.869995,181.369995,179.270004,180.369995,138.726837,3258500
6/27/2014,179.770004,182.460007,179.660004,181.710007,139.757462,4575500
6/30/2014,181.330002,181.929993,180.259995,181.270004,139.419067,4223800
7/1/2014,181.699997,187.270004,181.699997,186.350006,143.326218,6643100
7/2/2014,186.339996,188.990005,186.169998,188.389999,144.895264,5093000
7/3/2014,188.389999,188.809998,187.350006,188.529999,145.002869,2422400
7/7/2014,187.610001,188.270004,187.440002,188.039993,144.626053,2958700
7/8/2014,187.649994,188.080002,186.369995,187.220001,143.995361,3135100
7/9/2014,187.679993,188.899994,186.889999,188.419998,144.918304,3309600
7/10/2014,186.440002,188.050003,186.210007,187.699997,144.364517,3177800
7/11/2014,187.729996,188.350006,186.710007,188,144.595261,2402500
7/14/2014,188.550003,190.440002,188.529999,189.860001,146.025848,4501100
7/15/2014,189.539993,190.080002,188.210007,188.490005,144.972137,4864700
7/16/2014,192.240005,193.360001,190.759995,192.360001,147.948593,7812600
7/17/2014,192.360001,195.949997,192,192.490005,148.04863,8872300
7/18/2014,191.960007,193.440002,190,192.5,148.05632,8166400
7/21/2014,191.300003,191.699997,189.25,190.850006,146.787247,4154400
7/22/2014,191.589996,194.720001,191.559998,194.089996,149.279221,4853000
7/23/2014,194.110001,194.899994,193.570007,193.630005,148.925415,3584200
7/24/2014,193.949997,195.619995,193.75,195.240005,150.163727,3612700
7/25/2014,195.300003,195.899994,193.789993,194.399994,149.517654,3376400
7/28/2014,194.300003,196.399994,193.649994,195.779999,150.57901,3242400
7/29/2014,195.300003,195.889999,194.539993,194.570007,149.648438,3264100
7/30/2014,195.199997,195.990005,192.899994,194,149.209991,3943800
7/31/2014,192.839996,194.289993,191.539993,191.669998,147.417938,4207500
8/1/2014,190.5,191.5,188.860001,189.149994,145.479736,5181100
8/4/2014,189.350006,189.949997,188.600006,189.639999,145.856659,2125900
8/5/2014,188.75,189.199997,186.440002,187.100006,143.903061,3307900
8/6/2014,185.360001,186.880005,184.440002,185.970001,143.879837,3847000
8/7/2014,186.639999,186.679993,183.580002,184.300003,142.587784,2708600
8/8/2014,184.399994,186.669998,183.580002,186.630005,144.390442,2781500
8/11/2014,187.809998,188.360001,186.279999,187.470001,145.040375,2527200
8/12/2014,187.449997,188.690002,186.809998,187.339996,144.939804,1858600
8/13/2014,188,188.479996,187.369995,187.949997,145.411728,1795000
8/14/2014,187.570007,188.169998,186.929993,187.880005,145.357559,1929500
8/15/2014,187.850006,188.880005,186.789993,187.380005,144.970734,2814800
8/18/2014,188.100006,189.809998,187.759995,189.360001,146.502625,2420300
8/19/2014,190.039993,190.25,189.360001,190.070007,147.051895,2040100
8/20/2014,189.860001,190.389999,189.25,190.100006,147.075134,2177600
8/21/2014,190.899994,192.070007,190.5,191.229996,147.949387,2496500
8/22/2014,190.770004,191.880005,190.289993,190.410004,147.314957,1940300
8/25/2014,191.389999,191.809998,190.710007,191.160004,147.895203,1723600
8/26/2014,191.020004,193.529999,191.020004,192.990005,149.31102,3175400
8/27/2014,193.029999,194.130005,191.559998,192.25,148.738495,2190200
8/28/2014,191.470001,192.300003,190.660004,192,148.545074,1503600
8/29/2014,192.279999,192.75,191.139999,192.300003,148.777191,2909400
9/2/2014,192.679993,192.970001,190.929993,191.559998,148.204666,2679700
9/3/2014,192.389999,192.949997,191.860001,191.949997,148.506424,1822800
9/4/2014,191.690002,192.690002,190.059998,190.679993,147.523834,2865000
9/5/2014,190.529999,191.75,190.089996,191.199997,147.926163,2260200
9/8/2014,190.75,191.199997,189.509995,190.139999,147.106049,2524200
9/9/2014,190.339996,190.740005,189.779999,189.990005,146.98999,2403600
